Word,POS Tag,Frequency
rinci,ADJ,10
sabar,NOUN,40
utk,NOUN,18
balas,NOUN,28
chatpertnyaan,NOUN,1
seksama,NOUN,2
maksimaltrmksh,NOUN,1
sllu,NUM,4
aaah,PROPN,1
serba,PROPN,5
perbayar,NOUN,2
detailrespon,VERB,1
cepatmakasih,PROPN,1
dokk,PROPN,1
tanggap,NOUN,18
maksih,PROPN,3
njelaskan,NOUN,1
nyatrimakasih,PROPN,1
terus,ADV,41
sangatbramah,NOUN,1
jadwal,NOUN,5
beda,ADJ,2
mana,NOUN,24
refundnya,NOUN,1
penangananya,NUM,1
keren,PROPN,25
sih,NOUN,32
konsul,VERB,67
sngat,NOUN,7
mebantu,ADJ,1
verifikasi,NOUN,11
hp,NOUN,11
dah,PROPN,14
isi,VERB,4
malah,NOUN,92
nyangkut,NUM,1
trmksih,PROPN,1
dokterdokternya,PROPN,1
ramahdan,PROPN,1
menunggu,VERB,23
keluh,NOUN,6
kesah,NOUN,7
semoga,CONJ,68
anak,NOUN,29
bersih,ADJ,2
lg,NOUN,24
kulit,NOUN,12
puassngt,PROPN,1
mmbantu,NUM,2
trm,PROPN,3
ksh,NUM,5
luar,ADJ,19
biasa,ADJ,17
sebagai,ADP,6
pasian,NOUN,1
tegas,ADJ,3
ringkas,NOUN,1
diluar,ADP,3
dari,ADP,108
tampilan,NOUN,1
fiturnya,NOUN,3
ingin,ADV,27
memberi,VERB,9
ulasan,NOUN,6
pada,ADP,14
umum,ADJ,21
waktu,NOUN,40
kemudian,ADV,6
setelah,ADP,35
bertanya,VERB,21
tahu,VERB,4
10,NUM,6
pembicaraan,NOUN,2
ditutup,VERB,16
bangetdan,NOUN,1
nngu,NOUN,1
jawab2,NOUN,2
akhir,NOUN,3
tinggal,VERB,7
ngerjain,NOUN,1
sesuatu,NOUN,1
dlu,PROPN,8
bgtu,NOUN,3
lihat,VERB,6
bales,NOUN,11
kasi,VERB,8
cm,NOUN,2
sbntr,NOUN,1
konfirmasi,NOUN,10
okein,NOUN,1
ttup,PROPN,2
sesi,NOUN,15
otomatis,NOUN,27
sia2,NOUN,5
dpet,NOUN,1
apa2,NOUN,8
dalm,VERB,1
namun,CONJ,15
utuk,VERB,1
pemesanan,NOUN,5
via,ADP,9
lambat,ADJ,14
merasa,VERB,9
mnunggu,PROPN,2
yng,NOUN,1
pesan,NOUN,27
gk,NOUN,50
sampaisya,NUM,1
berharap,VERB,4
kejadian,NOUN,2
sprti,NOUN,5
terulang,VERB,1
kembali,VERB,10
joob,NUM,1
tentang,ADP,13
kedokteran,NOUN,2
gabisa,NOUN,15
dibuka,VERB,9
45,NUM,5
beres,VERB,2
15,NUM,3
balasnya,NUM,6
poll,NOUN,1
dulu,ADV,41
tolong,NOUN,54
perbaiki,NOUN,10
sistemnya,NOUN,2
ko,NOUN,9
jawabannya,NOUN,17
disuruh,VERB,22
paket,NOUN,5
udah,NOUN,90
12,NUM,4
hari,NOUN,55
masih,ADV,31
tunggu,NOUN,21
9,NUM,2
tp,NOUN,48
nyatanya,NOUN,2
minta,NOUN,17
refund,NOUN,25
alasannya,NOUN,1
pdhl,PROPN,13
org,PROPN,11
skt,PROPN,1
kok,X,18
masukan,NOUN,6
nomor,NOUN,5
dapet,NOUN,7
kode,NOUN,15
kodenya,NOUN,2
gada,PROPN,7
apapa,PROPN,2
cuman,NOUN,12
verivikasi,NOUN,3
doang,PROPN,21
underrated,PROPN,1
mahal,ADJ,27
²,NOUN,39
harus,ADV,81
lolos,VERB,1
verification,NOUN,1
google,PROPN,7
play,NOUN,1
scam,NOUN,4
dana,NOUN,23
jdi,NOUN,5
sy,NOUN,45
hanya,ADV,32
punya,VERB,21
menjadi,VERB,4
lebh,NOUN,1
tenang,ADJ,4
setlh,NOUN,1
apaanbarusan,PROPN,1
8,NUM,4
lah,NOUN,21
setjam,NOUN,1
dijawab2,NOUN,2
komplen,VERB,3
customer,NOUN,8
service,PROPN,7
download,VERB,28
jelek,ADJ,15
baguss,PROPN,5
tes,NOUN,2
cpns,PROPN,1
solusi,NOUN,36
lewat,ADP,19
berhubung,VERB,1
apoteknya,NOUN,4
aliran,NOUN,1
manual,NOUN,2
apotek,NOUN,30
k24,PROPN,5
ternyata,CONJ,33
harga,NOUN,9
berbeda,VERB,7
jauh,ADJ,17
separuh,NOUN,1
gue,NOUN,12
rugiiiiiii,VERB,1
51,NUM,1
ribuan,NOUN,2
27,NUM,1
lamban,NOUN,1
kompeten,ADJ,2
fast,NOUN,53
response,NOUN,1
tania,PROPN,2
maulani,PROPN,2
spm,PROPN,2
dia,PRON,18
bagian,NOUN,6
kan,VERB,23
member,NOUN,1
uang,NOUN,47
potong,NOUN,5
perbulan,NOUN,2
dikecewakan,VERB,1
mengecewakan,VERB,16
dg,ADP,20
spkk,NOUN,1
berbayar,NOUN,38
efektif,ADJ,2
refresh,NOUN,1
alhasil,NOUN,2
dokterna,PROPN,1
serta,CONJ,8
menyenangkan,VERB,4
clear,NOUN,1
bagussss,PROPN,1
pasca,ADP,2
kecelakaan,NOUN,1
pandangan,NOUN,2
ganda,ADJ,1
brengsek,NOUN,2
pesen,NOUN,9
dibatalkan,VERB,7
melulu,NOUN,1
kemanggisan,NUM,1
batalin,VERB,6
makin,ADV,9
lemot,NUM,9
ramahpenjelasannya,PROPN,2
menbantu,VERB,3
awesome,PROPN,1
pendaftaran,NOUN,3
pernah,ADV,18
pakai,VERB,29
membantusmoga,VERB,1
obtnya,PROPN,1
services,PROPN,1
prosesnya,NOUN,2
wa,PROPN,7
protes,VERB,1
barang,NOUN,6
dikirim,VERB,17
salah,DET,11
kuantitas,NOUN,1
tercantum,VERB,1
sesuai,ADJ,16
jumlah,NOUN,2
dapat,ADV,32
saat,NOUN,56
harusnya,NOUN,9
24,NUM,16
ribu,NOUN,4
pcs,PROPN,1
satu,NUM,15
ngajuin,VERB,1
pembatalan,NOUN,6
terkait,VERB,5
janji,NOUN,7
cek,NOUN,7
susah,ADJ,11
catatan,NOUN,1
notes,NOUN,1
trimaksih,NOUN,5
dua,NUM,9
patah,VERB,1
kata,NOUN,11
mending,NOUN,26
cari,NOUN,17
rujukan,NOUN,2
bpjs,NOUN,5
tatap,NOUN,4
muka,NOUN,3
daripada,ADP,6
45000,NOUN,3
pelit,NOUN,1
kaya,ADJ,14
dijelasin,NOUN,3
gimanya,PROPN,1
keadaan,NOUN,11
dibaca,VERB,1
tok,NOUN,1
notifnya,NUM,1
menganalisis,VERB,1
masalahmu,NOUN,1
tapu,PROPN,1
luamaaaa,PROPN,1
setengah,DET,7
tiba2,VERB,12
endchat,NOUN,1
percuma,NOUN,9
kapan,CONJ,5
indonesia,NOUN,8
maju,VERB,3
sedangkan,CONJ,7
biru,ADJ,3
gratis,ADJ,51
cuma,ADV,37
masalah,NOUN,23
seputar,ADP,4
penyakit,NOUN,37
gara,NOUN,5
diagnosa,NOUN,4
dpt,VERB,7
sebelah,ADP,17
pihak,NOUN,14
proses,NOUN,8
14,NUM,4
kerja,NOUN,13
kelamaan,NOUN,1
siiip,PROPN,1
ramahbaiksopan,PROPN,1
usah,NOUN,3
instal,VERB,6
bersangkutan,VERB,1
saja,ADV,32
sini,NOUN,16
buang2,NUM,3
ujung2,PROPN,2
datang,VERB,13
teori,NOUN,1
bejibun,VERB,1
menyesal,NOUN,3
keluar,VERB,25
baikinformatif,ADJ,1
memberkatiiii,ADJ,1
jawabnya,NOUN,6
chatnya,NOUN,10
tertutup,VERB,6
mksh,NOUN,3
login,VERB,18
mentok,NOUN,1
sampe,NOUN,35
masukin,NOUN,7
email,NOUN,9
an,NOUN,8
obatnya,NOUN,42
layanan,PROPN,15
ku,PROPN,10
rupanya,NOUN,2
prabayar,NOUN,2
menjengkelkan,VERB,1
cht,VERB,3
suru,PROPN,2
ulang,NOUN,10
rate,PROPN,1
menjelekan,VERB,1
sendiri,ADJ,13
lgi,NOUN,7
urgent,PROPN,18
bgt,PROPN,45
lol,PROPN,1
makasih,NOUN,22
semuanya,NOUN,8
endang,PROPN,1
sukindar,PROPN,1
akn,VERB,1
mencobanya,VERB,1
memusakan,ADJ,1
gw,PROPN,17
nyeritain,VERB,1
lalu,CONJ,12
akan,ADV,17
jelaskan,VERB,4
kurleb,NOUN,1
tiba,NOUN,16
diputusin,NUM,1
percakapannya,NOUN,3
amanah,NOUN,3
iklas,NOUN,1
anjer,NUM,1
muncul,VERB,9
keteranganpenjelasan,NOUN,1
diarahkan,VERB,3
check,NOUN,1
out,NOUN,3
begitu,ADV,7
hapus,VERB,13
playstore,NOUN,2
manfaatnya,NOUN,1
selow,NUM,1
hoalah,NUM,1
dktrnya,PROPN,1
baikdan,NUM,3
x,PROPN,2
trnyta,NUM,2
ma,PROPN,3
dktr,NUM,4
smashat2,VERB,1
penjelasanya,NUM,4
memberikan,VERB,25
bagusss,NOUN,4
aplikasinya,NOUN,37
andro,PROPN,1
tulisan,NOUN,4
latar,NOUN,1
coba,PROPN,19
uninstall,NOUN,9
install,NOUN,5
tetep,NOUN,4
beri,VERB,5
bintang,NOUN,34
dibenahi,VERB,1
j,PROPN,3
04,NUM,2
48,NUM,1
kokoh,NOUN,2
nugroho,PROPN,1
setiawan,PROPN,1
teus,PROPN,1
gl,PROPN,1
25,NUM,1
agst,NOUN,2
hr,PROPN,4
minggu,NOUN,7
t,PROPN,4
kiem,PROPN,1
08,NUM,1
09,NUM,1
sm,PROPN,9
cik,PROPN,1
ayang,PROPN,1
gereja,NOUN,1
roxy,PROPN,1
jalan2,VERB,1
mall,NOUN,1
central,NOUN,1
park,NOUN,1
cp,PROPN,1
tgl,PROPN,13
26,NUM,2
ak,NOUN,1
01,NUM,2
pagi,NOUN,7
mangan,NOUN,1
bakwan,NOUN,2
dibalas,VERB,11
biaya,NOUN,30
sopan,VERB,3
slow,NOUN,9
mungkin,ADV,11
informatif,PROPN,13
suatu,DET,3
bagi,ADP,22
secepatnya,NOUN,1
organ,NOUN,2
tubuh,NOUN,8
perlu,ADV,12
mengunjungi,VERB,2
agar,CONJ,8
pengobatan,NOUN,2
lmayan,VERB,1
bnyak,NOUN,3
pahami,NOUN,13
cepet,NUM,18
ramah2,NOUN,6
terlalu,ADV,10
pengiriman,NOUN,27
5,NUM,18
kabupaten,NOUN,2
bgtt,NUM,2
lamaaaa,PROPN,2
sgt,PROPN,14
teredukasi,PROPN,1
skl,PROPN,2
sekaligus,ADP,2
bs,VERB,9
mengerahui,NUM,1
berbagai,DET,2
melalui,ADP,6
pertanyaan2,NOUN,1
tmn2,NUM,1
tuhan,PROPN,4
berkati,PROPN,1
kirain,PROPN,6
perbayaran,PROPN,1
marsya,PROPN,1
andriani,PROPN,1
varinza,PROPN,1
skali,NOUN,5
cpat,NUM,2
parah,PROPN,25
bukannya,ADJ,3
panjang,ADJ,4
lebar,ADJ,3
tungguin,PROPN,2
tutup,NOUN,28
taunya,NUM,1
resepnya,NOUN,3
dikasih,VERB,16
jadinya,NOUN,7
2x,NOUN,7
masa,NOUN,13
butuh,VERB,30
sekarang,ADV,34
23,NUM,3
cancel,NOUN,7
pembulian,NUM,1
ppds,PROPN,1
maaf,PROPN,14
rating,NOUN,2
rendah,ADJ,3
internet,NOUN,2
tersedia,ADJ,11
memang,ADV,8
gimana,ADV,19
bukan,X,16
disarankan,VERB,4
lakukan,VERB,2
pas,ADJ,20
ujung2nya,NOUN,4
bingung,VERB,13
apalagi,ADV,13
sarankan,VERB,1
kota,NOUN,10
anda,PRON,15
masing2,VERB,1
akal,NOUN,3
periksa,VERB,3
salam,NOUN,4
oleh,ADP,14
alodokteraplikasi,NOUN,1
bila,CONJ,5
dilakukan,VERB,5
segera,ADV,8
keluarga,NOUN,7
